904814410,3.11,-1.39
904814410,3.08,-1.39
904814410,3.08,-1.37
904814410.1,3.1,-1.38
904814410.1,3.1,-1.38
904814410.1,3.09,-1.39
904814410.1,3.1,-1.35
904814410.1,3.13,-1.36
904814410.2,3.12,-1.37
904814410.2,3.11,-1.38
904814410.2,3.13,-1.35
904814410.2,3.16,-1.35
904814410.2,3.13,-1.39
904814410.3,3.1,-1.39
904814410.3,3.07,-1.38
904814410.3,3.05,-1.36
904814410.3,3.04,-1.4
904814410.3,3.07,-1.4
904814410.4,3.05,-1.38
904814410.4,3.07,-1.37
904814410.4,3.09,-1.39
904814410.4,3.08,-1.38
904814410.4,3.05,-1.37
904814410.5,3.06,-1.34
904814410.5,3.08,-1.34
904814410.5,3.05,-1.36
904814410.5,3.06,-1.35
904814410.5,3.06,-1.34
904814410.6,3.11,-1.35
904814410.6,3.1,-1.37
904814410.6,3.08,-1.38
904814410.6,3.09,-1.36
904814410.6,3.12,-1.35
904814410.7,3.12,-1.37
904814410.7,3.14,-1.37
904814410.7,3.13,-1.35
904814410.7,3.14,-1.34
904814410.7,3.13,-1.38
904814410.8,3.15,-1.37
904814410.8,3.15,-1.36
904814410.8,3.15,-1.33
904814410.8,3.16,-1.35
904814410.8,3.14,-1.34
904814410.9,3.11,-1.34
904814410.9,3.12,-1.33
904814410.9,3.16,-1.34
904814410.9,3.15,-1.34
904814410.9,3.11,-1.33
904814411,3.12,-1.3
904814411,3.16,-1.28
904814411,3.14,-1.31
904814411,3.16,-1.31
904814411,3.19,-1.31
904814411.1,3.21,-1.32
904814411.1,3.2,-1.36
904814411.1,3.18,-1.34
904814411.1,3.14,-1.33
904814411.1,3.13,-1.31
904814411.2,3.13,-1.31
904814411.2,3.11,-1.31
904814411.2,3.09,-1.3
904814411.2,3.12,-1.29
904814411.2,3.16,-1.31
904814411.3,3.17,-1.32
904814411.3,3.18,-1.32
904814411.3,3.18,-1.29
904814411.3,3.18,-1.31
904814411.3,3.15,-1.32
904814411.4,3.11,-1.32
904814411.4,3.12,-1.3
904814411.4,3.15,-1.3
904814411.4,3.14,-1.33
904814411.4,3.15,-1.33
904814411.5,3.16,-1.32
904814411.5,3.2,-1.31
904814411.5,3.19,-1.34
904814411.5,3.19,-1.34
904814411.5,3.19,-1.31
904814411.6,3.2,-1.31
904814411.6,3.21,-1.34
904814411.6,3.22,-1.34
904814411.6,3.2,-1.32
904814411.6,3.19,-1.31
904814411.7,3.2,-1.31
904814411.7,3.19,-1.3
904814411.7,3.14,-1.31
904814411.7,3.13,-1.3
904814411.7,3.15,-1.32
904814411.8,3.13,-1.32
904814411.8,3.12,-1.34
904814411.8,3.14,-1.31
904814411.8,3.19,-1.32
904814411.8,3.16,-1.35
904814411.9,3.16,-1.35
904814411.9,3.12,-1.34
904814411.9,3.1,-1.34
904814411.9,3.07,-1.34
904814411.9,3.06,-1.33
904814412,3.05,-1.31
904814412,3.07,-1.31
904814412,3.09,-1.32
904814412,3.07,-1.32
904814412,3.04,-1.32
904814412.1,3.07,-1.29
904814412.1,3.1,-1.32
904814412.1,3.1,-1.34
904814412.1,3.08,-1.34
904814412.1,3.09,-1.32
904814412.2,3.13,-1.34
